stock,model,feature_set,test_days,train_size,test_size,rmse,mae,directional_accuracy,naive_rmse,naive_mae,beat_naive
AAPL,Linear Regression,Tech+Sent,90,1257,90,3.7512587489489904,2.6084224462223284,56.17977528089888,3.54367310783071,2.459670849060745,False
AAPL,Random Forest,Tech-Only,30,1317,30,5.600524682244055,4.388230749587674,51.724137931034484,5.1828094451545095,3.832542682516166,False
AAPL,Random Forest,Tech-Only,60,1287,60,7.777841957745646,6.27716206757783,50.847457627118644,3.8938273371272505,2.6755950410487297,False
AAPL,Random Forest,Tech-Only,90,1257,90,19.359197504586678,17.772926845424237,57.30337078651685,3.54367310783071,2.459670849060745,False
AAPL,Random Forest,Tech+Sent,30,1317,30,5.614173518361065,4.427972452011214,48.275862068965516,5.1828094451545095,3.832542682516166,False
AAPL,Random Forest,Tech+Sent,60,1287,60,8.231560147766572,6.519344138562238,47.45762711864407,3.8938273371272505,2.6755950410487297,False
AAPL,Random Forest,Tech+Sent,90,1257,90,19.262538394844984,17.703519875733498,60.67415730337079,3.54367310783071,2.459670849060745,False
AAPL,XGBoost,Tech-Only,30,1317,30,6.395887140155694,5.158397420247394,58.620689655172406,5.1828094451545095,3.832542682516166,False
AAPL,XGBoost,Tech-Only,60,1287,60,6.123242370980627,5.033444213867187,47.45762711864407,3.8938273371272505,2.6755950410487297,False
AAPL,XGBoost,Tech-Only,90,1257,90,23.768308613957018,22.32691158718533,52.80898876404494,3.54367310783071,2.459670849060745,False
AAPL,XGBoost,Tech+Sent,30,1317,30,6.395887140155694,5.158397420247394,58.620689655172406,5.1828094451545095,3.832542682516166,False
AAPL,XGBoost,Tech+Sent,60,1287,60,6.123242370980627,5.033444213867187,47.45762711864407,3.8938273371272505,2.6755950410487297,False
AAPL,XGBoost,Tech+Sent,90,1257,90,23.768308613957018,22.32691158718533,52.80898876404494,3.54367310783071,2.459670849060745,False
MSFT,Linear Regression,Tech-Only,30,1317,30,11.996608874005998,7.964757195768002,55.172413793103445,12.03837889788303,7.924753123316275,True
MSFT,Linear Regression,Tech-Only,60,1287,60,9.354715184682021,6.060313398948523,49.152542372881356,9.335952787826043,6.009376655190678,False
MSFT,Linear Regression,Tech-Only,90,1257,90,8.739164184515204,6.035054604901016,56.17977528089888,8.552344550145648,5.832682063070576,False
MSFT,Linear Regression,Tech+Sent,30,1317,30,11.996608874005998,7.964757195768002,55.172413793103445,12.03837889788303,7.924753123316275,True
MSFT,Linear Regression,Tech+Sent,60,1287,60,9.354715184682007,6.060313398948518,49.152542372881356,9.335952787826043,6.009376655190678,False
MSFT,Linear Regression,Tech+Sent,90,1257,90,8.739164184515191,6.035054604901022,56.17977528089888,8.552344550145648,5.832682063070576,False
MSFT,Random Forest,Tech-Only,30,1317,30,12.465570713468493,8.293271012870132,51.724137931034484,12.03837889788303,7.924753123316275,False
MSFT,Random Forest,Tech-Only,60,1287,60,10.372873466999197,6.636514906214211,50.847457627118644,9.335952787826043,6.009376655190678,False
MSFT,Random Forest,Tech-Only,90,1257,90,14.55901442829068,11.177696850797297,51.68539325842697,8.552344550145648,5.832682063070576,False
MSFT,Random Forest,Tech+Sent,30,1317,30,12.355442354206586,8.180376468284994,55.172413793103445,12.03837889788303,7.924753123316275,False
MSFT,Random Forest,Tech+Sent,60,1287,60,10.3869778849723,6.678919388306336,50.847457627118644,9.335952787826043,6.009376655190678,False
MSFT,Random Forest,Tech+Sent,90,1257,90,14.732602328260219,11.304453868749379,55.0561797752809,8.552344550145648,5.832682063070576,False
MSFT,XGBoost,Tech-Only,30,1317,30,13.831178705601287,9.157224527994794,41.37931034482759,12.03837889788303,7.924753123316275,False
MSFT,XGBoost,Tech-Only,60,1287,60,12.254402653361536,8.51259765625,52.54237288135594,9.335952787826043,6.009376655190678,False
MSFT,XGBoost,Tech-Only,90,1257,90,16.44895748034647,12.67612033420139,47.19101123595505,8.552344550145648,5.832682063070576,False
MSFT,XGBoost,Tech+Sent,30,1317,30,13.831178705601287,9.157224527994794,41.37931034482759,12.03837889788303,7.924753123316275,False
MSFT,XGBoost,Tech+Sent,60,1287,60,12.254402653361536,8.51259765625,52.54237288135594,9.335952787826043,6.009376655190678,False
