stock,model,feature,importance,category
AAPL,XGBoost,SMA_20,0.0002542849106248468,Technical
AAPL,XGBoost,Momentum_10,0.0002537725667934865,Technical
AAPL,XGBoost,MACD,0.00024983385810628533,Technical
AAPL,XGBoost,RSI,0.00022112247825134546,Technical
AAPL,XGBoost,EMA_20,0.00021969804947730154,Technical
AAPL,XGBoost,MACD_Signal,0.00021844272851012647,Technical
AAPL,XGBoost,BB_Width,0.0002099935954902321,Technical
AAPL,XGBoost,Returns_5d,0.00018153975543100387,Technical
AAPL,XGBoost,Volume,0.00017650309018790722,Price
AAPL,XGBoost,positive_score,0.0,Sentiment
AAPL,XGBoost,negative_score,0.0,Sentiment
AAPL,XGBoost,neutral_score,0.0,Sentiment
AAPL,XGBoost,article_count,0.0,Sentiment
MSFT,Random Forest,Close,0.5283577927199793,Price
MSFT,Random Forest,Low,0.2813891757551086,Price
MSFT,Random Forest,High,0.08374905950324295,Price
MSFT,Random Forest,SMA_200,0.06446078793127091,Technical
MSFT,Random Forest,Open,0.031511474862104615,Price
MSFT,Random Forest,EMA_20,0.0029007701533974375,Technical
MSFT,Random Forest,SMA_20,0.001794496598363377,Technical
MSFT,Random Forest,SMA_50,0.0012094302365543035,Technical
MSFT,Random Forest,EMA_50,0.0012071500211128447,Technical
MSFT,Random Forest,BB_Upper,0.0011266218856127207,Technical
MSFT,Random Forest,Volume,0.0003268611920165106,Price
MSFT,Random Forest,MACD,0.0003164285048571367,Technical
MSFT,Random Forest,Momentum_10,0.0002818931320412143,Technical
MSFT,Random Forest,Returns_5d,0.00026460457193324706,Technical
MSFT,Random Forest,RSI,0.0002533607390544187,Technical
MSFT,Random Forest,BB_Width,0.0002384630916005212,Technical
MSFT,Random Forest,Returns_1d,0.00022813344644410382,Technical
MSFT,Random Forest,MACD_Signal,0.00020941313324994483,Technical
MSFT,Random Forest,BB_Lower,0.00017408252205575002,Technical
MSFT,Random Forest,positive_score,0.0,Sentiment
MSFT,Random Forest,negative_score,0.0,Sentiment
MSFT,Random Forest,neutral_score,0.0,Sentiment
MSFT,Random Forest,article_count,0.0,Sentiment
MSFT,XGBoost,Close,0.6909825801849365,Price
MSFT,XGBoost,Low,0.19779832661151886,Price
MSFT,XGBoost,High,0.06447513401508331,Price
MSFT,XGBoost,SMA_200,0.037233173847198486,Technical
MSFT,XGBoost,Open,0.005466155242174864,Price
MSFT,XGBoost,SMA_50,0.0011498412350192666,Technical
