Price,Open,High,Low,Close,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-11-17,327.96901069081383,333.1726513447855,327.06531968384377,332.7158508300781,14494400
2023-11-20,332.5668865359182,339.49844696184067,331.87173030537514,337.61163330078125,16960500
2023-11-21,335.983036522229,337.5421529147705,333.56990038195556,334.6424255371094,12027900
2023-11-22,336.85694150534493,340.5412275998249,336.2313068739848,339.1211242675781,10702700
2023-11-24,337.77057245981536,339.4885523054197,334.4338645325488,335.8837585449219,5467500
2023-11-27,333.84794886953887,337.5421448490172,331.8817033085443,332.37823486328125,15684500
2023-11-28,331.0872690473393,337.02579796930206,331.0872690473393,336.63848876953125,12637200
2023-11-29,337.3336328595528,337.5421676409766,328.48543631997484,329.8955993652344,16024500
2023-11-30,329.58772438421056,331.18654141664064,320.16353502645495,324.8805847167969,23146400
2023-12-01,323.2222283416098,324.592630130751,318.534968722478,322.5668029785156,15276400
2023-12-04,315.08900590564207,318.6342182124183,311.4841819302408,317.800048828125,19037100
2023-12-05,316.76727772927734,319.6471546506567,313.20218484619875,316.0820617675781,16952100
2023-12-06,319.6967975944425,320.0145850609323,314.840734778022,315.2478942871094,11294300
2023-12-07,315.56566907383996,325.96304155910934,315.56566907383996,324.3244934082031,15905100
2023-12-08,320.8487785252904,330.8588723302626,320.7594064759814,330.4417724609375,14087400
2023-12-11,327.11500554193907,327.60162710830497,317.78021770794487,323.0235900878906,25802500
2023-12-12,322.3483177648806,332.1498466082238,322.30858675160493,331.9015808105469,18485500
2023-12-13,331.613589975502,336.0227930461716,330.33256025664025,332.41796875,16353300
2023-12-14,331.5341318558429,332.3782415771225,326.3602814366217,330.8588562011719,19607300
2023-12-15,329.6870122597024,336.31075653936995,328.9223645749602,332.5967102050781,31776900
2023-12-18,335.138945860617,345.1490085729094,334.682115014434,342.2294006347656,18993900
2023-12-19,343.182755230737,351.14714120990925,342.72595466047795,347.9295959472656,17729400
2023-12-20,346.2313906405183,352.49761541578346,345.3773710523512,346.8570251464844,16369900
2023-12-21,350.53147289681993,353.93767253205505,346.7876050912574,351.6337585449219,15289600
2023-12-22,353.1133790344546,354.72216678296945,348.7836382780297,350.9385986328125,11772800
2023-12-26,352.5274850525142,354.5037013689945,350.9981895908106,352.36859130859375,9898600
2023-12-27,353.59997739376473,356.50964493837427,352.84523975673784,355.3477478027344,13207900
2023-12-28,357.20484368034937,359.38956452775494,355.32793969331226,355.83441162109375,11798800
2023-12-29,356.4997762626334,357.50277987070984,349.37952953483807,351.5046691894531,14987100
2024-01-02,348.8829233892459,350.710155792769,337.651382544702,343.8878173828125,19042200
2024-01-03,342.5869773359991,345.53637645618534,340.799445268861,342.08050537109375,15451100
2024-01-04,342.1102461152332,345.7349204555681,341.01787061798507,344.7120666503906,12099900
2024-01-05,344.5829605689194,351.04781114531914,343.8580438907482,349.5085754394531,13920700
2024-01-08,352.23947587883526,356.4897845196527,349.6078345522185,356.1719970703125,13890200
2024-01-09,353.9277076707349,358.138316118868,352.8949134884514,354.9505615234375,13463900
2024-01-10,357.67160704708056,370.35301394440967,356.5891414264433,367.900146484375,22117200
2024-01-11,369.54860933207885,370.1940943436833,360.41241587190035,367.1056823730469,17205400
2024-01-12,367.59226177945345,374.44439150060066,366.97656747114235,371.8922119140625,19310000
2024-01-16,371.05804360841296,373.00443891602794,364.6825950936139,364.9109802246094,15306900
2024-01-17,363.75901875957754,365.9835008176881,356.1223607318254,365.8146667480469,12724800
2024-01-18,368.91304613290293,374.23588075452443,368.376813814001,373.5208740234375,16354300
2024-01-19,376.3709265262171,381.69373035981744,375.3480727138561,380.7900695800781,21670800
2024-01-22,385.2588658770631,387.64221140503804,378.51595852044164,379.13165283203125,17680500
2024-01-23,381.9519604782741,385.6858877821844,379.42957148217187,382.5279541015625,15506100
2024-01-24,387.29462029869575,393.4019524806912,385.1198096217787,387.9897766113281,15698500
2024-01-25,387.463476105673,392.74654921576047,382.98475144483166,390.45257568359375,15091100
2024-01-26,391.6144490770692,394.0375255245111,388.8735851564818,391.4059143066406,13163700
2024-01-29,392.2500198714916,400.1349440276031,390.37314620072715,398.2381896972656,18742400
2024-01-30,400.7903320803033,403.54110595161325,396.79822933650826,397.2848205566406,18614700
2024-01-31,386.3015482973079,395.2391162527726,384.41473445677485,387.43365478515625,20180800
2024-02-01,391.20730397034777,397.7217958803975,390.32346321045657,392.0414733886719,29727100
2024-02-02,456.4118123081212,482.5889413919977,449.86753003715205,471.6950378417969,84707600
2024-02-05,466.6204856916062,468.6264622065812,456.034429603673,456.2231140136719,40832400
2024-02-06,460.7812674472568,463.87961939666826,449.85757360691235,451.5656433105469,21655200
2024-02-07,454.8229212950101,468.2491241314177,453.0155390941815,466.33251953125,23066000
2024-02-08,465.07134622371103,467.32558868611034,461.8041599426537,466.73968505859375,18815100
2024-02-09,469.6692454531746,470.30479013249504,464.22724828942955,464.86279296875,18413100
2024-02-12,464.9422419936449,475.82620571090297,463.34339455149507,465.6473083496094,19382000
2024-02-13,453.70076734156714,464.64434291204145,451.93311610453003,456.92822265625,20916600
2024-02-14,464.6839937366196,470.82111621817603,462.85676132977494,469.99688720703125,16858400
2024-02-15,471.9830306082493,485.230488771925,468.9442599360806,480.6723327636719,24212300
2024-02-16,474.7934022206939,475.6375119489184,465.9551463563073,470.0366516113281,23324600
2024-02-20,466.46159170236916,472.87677072112166,463.3235087291464,468.4775085449219,18015500
2024-02-21,463.75552217021885,466.2408143576262,459.0732401837944,465.2765197753906,12921800
2024-02-22,477.41462669114475,487.1072651737646,473.25922588434,483.2699890136719,21625800
2024-02-23,485.1786810525682,491.45155549063116,479.51223362447035,481.1823425292969,18374300
2024-02-26,480.6256557583817,483.2799609921054,477.7725453653091,478.90582275390625,12101400
2024-02-27,477.15615759128826,484.4032466884035,477.0965130147055,484.1845397949219,10809600
2024-02-28,482.1466085873044,488.16100260044766,479.9098459701468,481.17236328125,12715500
2024-02-29,485.5664001835374,488.8072305793803,479.77068239389234,487.2464599609375,17732000
2024-03-01,489.2147961734658,501.28338849746706,488.95634643940537,499.3448486328125,16273600
2024-03-04,500.04073241207027,501.4523915660251,493.49945745211545,495.259033203125,12324100
2024-03-05,492.0877837615881,492.6643581190784,485.0196283389058,487.3359069824219,15325300
